Unnamed: 0,id,key,title,blurb,attack,defense,magic,difficulty,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,Best_Partner,Counters,Countered_by
0,Aatrox,266,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",8,4,3,4,"['Fighter', 'Tank']",Blood Well,650,114,0,0.0,345,38,4.45,32,2.05,175,3.0,1.0,0.0,0.0,0,0,60,5.0,2.5,0.651,Rammus,Nasus,Kled
1,Ahri,103,the Nine-Tailed Fox,"Innately connected to the magic of the spirit realm, Ahri is a fox-like vastaya who can manipulate her prey's emotions and consume their essence—receiving flashes of their memory and insight from each soul she consumes. Once a powerful yet wayward...",3,4,8,5,"['Mage', 'Assassin']",Mana,570,96,418,25.0,330,18,4.7,30,1.3,550,2.5,0.6,8.0,0.8,0,0,53,3.0,2.0,0.668,Maokai,Veigar,Diana
2,Akali,84,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",5,3,8,7,['Assassin'],Energy,570,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,0,0,62,3.3,3.2,0.625,Pantheon,Diana,Fiora
3,Akshan,166,the Rogue Sentinel,"Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they...",0,0,0,0,"['Marksman', 'Assassin']",Mana,630,104,350,40.0,330,26,4.2,30,1.3,500,3.75,0.65,8.2,0.7,0,0,52,3.5,4.0,0.638,Amumu,Talon,Yasuo
4,Alistar,12,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",6,9,5,7,"['Tank', 'Support']",Mana,670,120,350,40.0,330,44,4.7,32,2.05,125,8.5,0.85,8.5,0.8,0,0,62,3.75,2.125,0.625,Kindred,Pyke,Renata
5,Amumu,32,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",2,6,8,3,"['Tank', 'Mage']",Mana,685,100,285,40.0,335,30,4.2,32,2.05,125,9.0,0.85,7.4,0.55,0,0,53,3.8,2.18,0.736,Akshan,Yuumi,Rell
6,Anivia,34,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",1,4,10,10,"['Mage', 'Support']",Mana,550,96,495,45.0,325,21,5.2,30,1.3,600,5.5,0.55,8.0,0.8,0,0,51,3.2,1.68,0.625,Bard,Azir,Zoe
7,Annie,1,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",2,3,10,6,['Mage'],Mana,594,102,418,25.0,335,19,5.2,30,1.3,625,5.5,0.55,8.0,0.8,0,0,50,2.65,1.36,0.579,Vi,Yasuo,Yasuo
8,Aphelios,523,the Weapon of the Faithful,"Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...",6,2,1,10,['Marksman'],Mana,580,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,0,0,55,3.0,2.1,0.64,Sona,Kaisa,Twitch
9,Ashe,22,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",7,3,2,4,"['Marksman', 'Support']",Mana,640,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,0,0,59,2.95,3.33,0.658,Nilah,Yuumi,Rell
10,AurelionSol,136,The Star Forger,"AurelionSol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",2,3,8,7,['Mage'],Mana,620,105,530,40.0,335,22,4.8,30,1.3,550,5.5,0.55,8.0,0.75,0,0,55,3.2,1.5,0.625,Maokai,Yasuo,Katarina
